Variable,0 alleles (N=1322),1 allele (N=870),2 alleles (N=225),Overall (N=2417),p-value
N,1322,870,225,2417,—
Age (yrs),73.3 (7.6),72.7 (7.0),70.6 (7.0),72.9 (7.4),<0.001
"Female, %",48.4,48.2,44.5,46.9,0.567
Education (yrs),16.2 (2.7),15.9 (2.8),15.9 (2.6),16.1 (2.7),0.010
MMSE,27.9 (2.4),27.0 (2.8),25.9 (3.0),27.4 (2.7),<0.001
CDR-SB,1.1 (1.6),1.8 (1.8),2.4 (2.0),1.5 (1.8),<0.001
ADAS-Cog13,13.7 (8.6),17.8 (10.1),20.8 (9.4),15.8 (9.6),<0.001
Hippo (mm³),4471.5 (721.5),4444.1 (856.4),4272.5 (811.6),4443.1 (782.7),<0.001
Hippo/ICV,0.7 (0.1),0.7 (0.1),0.7 (0.1),0.7 (0.1),<0.001
GDS,1.3 (1.5),1.4 (1.5),1.6 (1.4),1.4 (1.5),0.005
NPI-Q,1.5 (2.3),2.3 (3.3),2.3 (2.9),1.9 (2.8),<0.001
Diagnosis: CN %,47.0,29.1,12.0,37.3,<0.001
Diagnosis: MCI %,42.9,48.9,51.6,45.8,
Diagnosis: AD %,10.1,22.1,36.4,16.9,
